_source,cust_guid,history,md5,model,notes,observed,platform,related_intent,requesttype,routed,subtags,tag,tagsource,text,timestamp,weight
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 38}",135528140610082016Comcast.cust,,e31d127a8ba3cb49353d5b7eca0081e6,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.451093: new comcast tags for 20170326 tag set""]",O,,,,O,,RTD,"('comcast_tags.csv', '', 277)",Hidden figures,2017-04-02T01:20:01.407000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 39}",600507331014052013Comcast.USRIMS,,bc23ea030c8f22f886a5e10775537f01,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.451251: new comcast tags for 20170326 tag set""]",RIWH,,,,O,,RIWH,"('comcast_tags.csv', '', 45)",Hot spot,2017-03-30T18:59:51.188000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 40}",825519491114092016Comcast.cust,,0795194a01d4b9965de1eb92e1d29b80,known_good,"[""2017-05-09T17:38:27.451403: new comcast tags for 20170326 tag set""]",RIWH,,,,O,,RIWH,"('comcast_tags.csv', '', 47)",Hotspot,2017-03-30T00:28:08.728000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 41}",231740410514052016Comcast.cust,,eccf1f7ee8d8cb4ddf5c09f85cbebab1,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.451574: new comcast tags for 20170326 tag set""]",STX,,,,O,,STX,"('comcast_tags.csv', '', 279)",How can I cancel my appointment?,2017-03-31T05:32:14.686000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 42}",228920040111090347COMCAST.USRMIG,,84ab8a3793feeb41e18dd9c8a8f4ee78,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.451739: new comcast tags for 20170326 tag set""]",LP,,,,O,,RIE,"('comcast_tags.csv', '', 280)",How can I change email password,2017-03-31T19:02:56.995000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 43}",863606190906082016Comcast.cust,,9d62e3b5bd27d1a1a821465dd8f95231,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.451904: new comcast tags for 20170326 tag set""]",RIW,,,,O,,RIW,"('comcast_tags.csv', '', 281)",How can I change internet password,2017-03-27T02:42:55.430000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 44}",584132540221092015Comcast.cust,,dab6a1da864c37e520b40032cec7bfe5,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.452070: new comcast tags for 20170326 tag set""]",LPR,,,,O,,LPR,"('comcast_tags.csv', '', 282)",How can I change my comcast password,2017-04-01T03:36:02.969000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 45}",772554300619032017Comcast.cust,,0d7faabb28b94bb2ed23d2337fca5efe,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.452239: new comcast tags for 20170326 tag set""]",RV,,,,O,,RVF,"('comcast_tags.csv', '', 285)",How can I have calls transfer to my cell phone,2017-04-01T03:17:59.380000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 46}",197830210530032017Comcast.cust,,05c183af6a94b2bc5a004cd4d8db1bd3,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.452410: new comcast tags for 20170326 tag set""]",ATT,,,,O,,ATT,"('comcast_tags.csv', '', 287)",How can I record shows from the app?,2017-04-02T00:11:49.369000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 47}",835421450228072015Comcast.cust,,b795383e3dc2cf290eb5e32ea6b766e2,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.452584: new comcast tags for 20170326 tag set""]",BS,,,,O,,BS,"('comcast_tags.csv', '', 288)",How can I upgrade my,2017-03-29T01:47:09.258000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 48}",096009300302052009Comcast.USR2JR,,6f09b024dba154f7da93587197bd2f35,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.452767: new comcast tags for 20170326 tag set""]",R,,,,O,,RT,"('comcast_tags.csv', '', 298)",How do I change the names of my Boxes on my app,2017-03-26T18:40:17.688000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 49}",998501241127012015Comcast.USRIMS,,ca3e2bb6db7a8b812ae43bafb88538dc,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.452930: new comcast tags for 20170326 tag set""]",RI,,,,O,,RI,"('comcast_tags.csv', '', 301)",How do I fix my internet,2017-03-30T17:16:29.385000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 50}",251634420116022016Comcast.cust,,40a4134271854713696405b822c6b509,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.453092: new comcast tags for 20170326 tag set""]",RVV,,,,O,,RVV,"('comcast_tags.csv', '', 302)",How do I get my voice mail,2017-03-31T09:28:16.876000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 51}",405434291028032017Comcast.cust,,443e53d2bf3e6caebab26ffdccfb0d1c,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.453264: new comcast tags for 20170326 tag set""]",RTG,,,,O,,R,"('comcast_tags.csv', '', 305)",How do I hookup,2017-04-01T23:25:53.298000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 52}",6471028946460530102009FM,,a604b6f44422438162d442706f7abff2,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.453447: new comcast tags for 20170326 tag set""]",R,,,,O,,ATT,"('comcast_tags.csv', '', 306)",How do I manage my dvr on my iPhone,2017-03-29T05:35:59.066000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 53}",431656470129032013Comcast.USRIMS,,a0a77760220850141a95fdf921514978,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.453626: new comcast tags for 20170326 tag set""]",ATT,,,,O,,AC,"('comcast_tags.csv', '', 308)",How do I retrieve messages on my home phone from my cell phone?,2017-03-26T15:06:32.825000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 54}",018753120301042005Comcast.USR8JR,,a8a65f11934542f32e437980bcd02239,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.453804: new comcast tags for 20170326 tag set""]",RTR,,,,O,,RT,"('comcast_tags.csv', '', 311)",How do I stop my remote from choosing Hd channels,2017-03-29T11:24:41.172000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 55}",404716141128012013Comcast.USRIMS,,e2fe5ff958f60267be479f0778ef8b5a,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.453970: new comcast tags for 20170326 tag set""]",R,,,,O,,R,"('comcast_tags.csv', '', 312)",How do I un-pause a device,2017-03-30T23:29:25.004000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 56}",853920540320012015Comcast.USRIMS,,9926b63a72ae6ab30e9b5a2e07283fe8,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.454133: new comcast tags for 20170326 tag set""]",BAV,,,,O,,BAV,"('comcast_tags.csv', '', 317)",How much do I pay a month,2017-03-28T18:43:59.492000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 57}",603109390629042016Comcast.cust,,14466b25c7bc4aee5bf8515c6cba771c,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.454294: new comcast tags for 20170326 tag set""]",BST,,,,O,,BST,"('comcast_tags.csv', '', 50)",How to Add channels?,2017-04-01T08:49:11.342000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 58}",226221561719022005Comcast.USR3JR,,325ce21aa72b6e7cc9505ffdffba3095,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.454460: new comcast tags for 20170326 tag set""]",RIE,,,,O,,RIE,"('comcast_tags.csv', '', 318)",How to access email ?,2017-03-28T16:43:43.104000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 59}",025203110120102011Comcast.USR8JR,,9b8343591e136f070ef365c8d40beea4,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.454625: new comcast tags for 20170326 tag set""]",RVF,,,,O,,RVF,"('comcast_tags.csv', '', 52)",How to block calls?,2017-03-29T21:09:36.797000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 60}",750002131005082016Comcast.cust,,1e869443de46bc64d2a020c010208e49,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.454792: new comcast tags for 20170326 tag set""]",RID,,,,O,,RID,"('comcast_tags.csv', '', 323)",How to remove wifi devices,2017-03-27T04:36:07.145000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 61}",171131401704012007Comcast.USR9JR,,767dbb6a371f42e7d78687ed17e01029,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.454956: new comcast tags for 20170326 tag set""]",ST,,,,O,,ST,"('comcast_tags.csv', '', 325)",How to schedule an appointment,2017-03-28T07:27:11.220000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 62}",364009371124102016Comcast.cust,,800c89a0761eb2108d7cf44810bb5a38,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.455124: new comcast tags for 20170326 tag set""]",RIW,,,,O,,RIW,"('comcast_tags.csv', '', 327)",How to wifi off the network,2017-03-31T04:52:31.777000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 63}",955556530605012017Comcast.cust,,a69d65daab532e6bf0fe3d1763a17dd7,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.455382: new comcast tags for 20170326 tag set""]",B,,,,O,,BPR,"('comcast_tags.csv', '', 335)",I need my Service restored,2017-03-27T12:00:17.465000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 64}",262731590629082015Comcast.cust,,2f9ddeb2e3673a20881af4dbc9ddcd1e,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.455820: new comcast tags for 20170326 tag set""]",RTV,,,,O,,RTV,"('comcast_tags.csv', '', 339)",I want to set a recording,2017-03-28T21:59:26.202000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 65}",266329110808082016Comcast.cust,,68488840f5fea0c36e90717b6f0164c6,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.456290: new comcast tags for 20170326 tag set""]",BPA,,,,O,,BPA,"('comcast_tags.csv', '', 342)",If I schedule a payment for this Tuesday will they sit off my service,2017-03-26T15:41:05.883000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 66}",887944120104102016Comcast.cust,,ac7b3a8cfd2394f910a6c80d1c634997,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.456701: new comcast tags for 20170326 tag set""]",B,,,,O,,BPA,"('comcast_tags.csv', '', 343)",If I schedule a payment past my due date will my service be disconnected,2017-03-31T16:33:35.677000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 67}",142228542028112009Comcast.USR0JR,,dd480f44d43acc9a5426771f9440585e,known_good,"[""2017-05-09T17:38:27.457053: new comcast tags for 20170326 tag set""]",RI,,,,O,,RI,"('comcast_tags.csv', '', 57)",Internet,2017-04-01T13:53:59.782000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 68}",292920040111081300COMCAST.USRMIG,,31baed623aa487101b9e87a36ce216ac,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.457508: new comcast tags for 20170326 tag set""]",BSI,,,,O,,RTG,"('comcast_tags.csv', '', 349)",Listing of channels for blast plus,2017-03-30T01:12:47.330000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 69}",317559591610032011Comcast.USR4JR,,a2f522dccbd6b45cc159c8af30f78f4c,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.457863: new comcast tags for 20170326 tag set""]",RTD,,,,O,,RTD,"('comcast_tags.csv', '', 350)",Looking for Devil movie,2017-03-30T23:17:53.432000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 70}",596918460529092015Comcast.cust,RHAA,e515dcf3a7cfa0ef27e24c270422f200,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.458237: new comcast tags for 20170326 tag set"", ""2017-07-21T17:01:06.492001: autotagged by fwph (source note: Customer wants to add security - this intent will get them information on security options)""]",BS,,,,O,,RIN,"('tagquestions20170713.csv', '', 103)",Looking to add security to my account,2017-03-31T00:15:24.161000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 71}",573620040405220945Comcast.USROSP,,be42fb05784cce45c9b7edd90e255d99,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.458533: new comcast tags for 20170326 tag set""]",BS,,,,O,,BS,"('comcast_tags.csv', '', 352)",Manage  subscriptions,2017-03-29T06:16:22.471000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 72}",228608541112022017Comcast.cust,,e028f1b450f57361831a1125e7df3da9,known_good,"[""2017-05-09T17:38:27.458760: new comcast tags for 20170326 tag set""]",BM,,,,O,,BM,"('comcast_tags.csv', '', 65)",Move service,2017-03-27T02:25:25.854000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 73}",374445580708042016Comcast.cust,,ff2995f6ffa28230dc34005aeb01ba34,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.458981: new comcast tags for 20170326 tag set""]",BM,,,,O,,BM,"('comcast_tags.csv', '', 66)",Moving,2017-04-01T06:54:01.291000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 74}",771702061121082015Comcast.cust,,b44e8ed92f41f3ab6df1fd78405bbe71,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.459223: new comcast tags for 20170326 tag set""]",BM,,,,O,,BM,"('comcast_tags.csv', '', 355)",Moving and want to move service with us,2017-03-31T17:55:35.204000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 75}",206408490514032017Comcast.cust,,e925397938698bc6dc1fa8d20aaccada,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.459448: new comcast tags for 20170326 tag set""]",RTG,,,,O,,RTG,"('comcast_tags.csv', '', 67)",My channels?,2017-03-26T23:35:07.257000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 76}",280232270627122014Comcast.USRIMS,,1bceae2a99e649a8c3ab19cf0abe5671,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.459684: new comcast tags for 20170326 tag set""]",RICS,,,,O,,RICS,"('comcast_tags.csv', '', 70)",My internet speed,2017-03-26T17:27:53.178000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 77}",768733060707012017Comcast.cust,,dfbb7a9ec9ea3de19ea0ee5623afff3b,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.459925: new comcast tags for 20170326 tag set""]",R,,,,O,,RI,"('comcast_tags.csv', '', 356)",My network is not working,2017-03-30T21:54:56.176000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 78}",220136412207032005Comcast.USR0JR,,08bf06485be841e4e1a00a7796c8d133,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.460150: new comcast tags for 20170326 tag set""]",LP,,,,O,,LP,"('comcast_tags.csv', '', 71)",My password,2017-04-01T02:01:32.254000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 79}",162814212208062007Comcast.USR4JR,,af62881746062b8752c7a62048e281d0,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.460399: new comcast tags for 20170326 tag set""]",RTR,,,,O,,RTR,"('comcast_tags.csv', '', 357)",My remote won't connect to my cable box,2017-04-02T03:59:13.688000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 80}",429201191129102014Comcast.USRIMS,,add9e6ec85d16359220aaf15c2f2aa7b,known_good,"[""2017-05-09T17:38:27.460679: new comcast tags for 20170326 tag set""]",RIW,,,,O,,RIW,"('comcast_tags.csv', '', 73)",My wifi is slow,2017-03-29T03:49:28.803000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 81}",846907520607122016Comcast.cust,,36560c1ee961c1c565065d3230817968,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.460920: new comcast tags for 20170326 tag set""]",R,,,,O,,RS,"('comcast_tags.csv', '', 361)",Need help installing equipment,2017-03-28T03:46:52.689000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 82}",035820040111081917COMCAST.USRMIG,,64206680c4a57e0a782cec0a3f12172d,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.461251: new comcast tags for 20170326 tag set""]",RTS,,,,O,,RTS,"('comcast_tags.csv', '', 368)",Now that Netflix is part of demand do we have to pay netflix,2017-03-31T17:20:53.467000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 83}",885258120201082015Comcast.cust,,4a15323e04e5bf614082053ef4a577ad,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.461540: new comcast tags for 20170326 tag set""]",RTD,,,,O,,RTD,"('comcast_tags.csv', '', 369)",On demand is turning off during show?,2017-03-28T23:44:51.842000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 84}",441925130813042015Comcast.USRIMS,,ba73f6ad253af5aa5d9ff2718bc59dea,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.461778: new comcast tags for 20170326 tag set""]",R,,,,O,,R,"('comcast_tags.csv', '', 370)",Outlet,2017-03-31T21:31:33.129000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 85}",348815052005022009Comcast.USR6JR,,ea024481cf364954aea7492367d0c58c,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.462007: new comcast tags for 20170326 tag set""]",O,,,,O,,RO,"('comcast_tags.csv', '', 371)",Outsges,2017-03-29T01:57:18.209000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 86}",140642310308112016Comcast.cust,,0b2c1c0a0c56b2eb375bda9410e7706e,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.462233: new comcast tags for 20170326 tag set""]",BS,,,,O,,BS,"('comcast_tags.csv', '', 81)",Packages,2017-03-28T20:39:15.842000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 87}",588239310425102015Comcast.cust,,a8c609f1bbd8d6a26be5f6f037283e63,known_good,"[""2017-05-09T17:38:27.462433: new comcast tags for 20170326 tag set""]",AX,,,,O,,AX,"('comcast_tags.csv', '', 82)",Pandora,2017-03-28T20:52:43.513000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 88}",221234200311092016Comcast.cust,,083ef53d2adccbccdf28e37f898a9789,known_good,"[""2017-05-09T17:38:27.462650: new comcast tags for 20170326 tag set""]",LC,,,,O,,LC,"('comcast_tags.csv', '', 84)",Parental controls,2017-03-31T23:29:37.901000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 89}",362847471201062016Comcast.cust,,82d4d50f0e727ae3cfdc70ffc0624cbe,known_good,"[""2017-05-09T17:38:27.462853: new comcast tags for 20170326 tag set""]",LP,,,,O,,LP,"('comcast_tags.csv', '', 85)",Password,2017-03-28T18:22:35.616000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 90}",482654150409092016Comcast.cust,,2f113c7acfab573b9a5100a8a8920edd,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.463060: new comcast tags for 20170326 tag set""]",BPA,,,,O,,BPA,"('comcast_tags.csv', '', 87)",Payment arrangements,2017-03-29T11:51:00.225000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 91}",545905551124092016Comcast.cust,,7961c277f585b7be9fd6466e5b8a8db9,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.463294: new comcast tags for 20170326 tag set""]",OS,,,,O,,OS,"('comcast_tags.csv', '', 90)",Phone number for Xfinity,2017-03-27T16:55:40.909000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 92}",07982265384382721FS148603,,6658b9545dd283995202336003d8a3bf,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.463496: new comcast tags for 20170326 tag set""]",BS,,,,O,,BS,"('comcast_tags.csv', '', 92)",Plans,2017-03-31T20:01:14.581000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 93}",726153040916042014Comcast.USRIMS,,39b6e404112382a995c0bd6e3d2d57a0,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.463701: new comcast tags for 20170326 tag set""]",O,,,,O,,R,"('comcast_tags.csv', '', 373)",Privacy,2017-03-29T22:38:31.254000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 94}",731721090322112016Comcast.cust,,acc35ab1f751fbe73325d9334ae64989,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.463910: new comcast tags for 20170326 tag set""]",RHD,,,,O,,RHD,"('comcast_tags.csv', '', 375)",Reboot camera,2017-03-29T01:39:49.541000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 95}",855547240214102013Comcast.USRIMS,,c8f8a4914050ddb2c02fc3d4c2b994ac,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.464113: new comcast tags for 20170326 tag set""]",RTV,,,,O,,RTV,"('comcast_tags.csv', '', 96)",Record a show,2017-03-30T18:45:26.946000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 96}",138121140115032017Comcast.cust,,f88f6bb75e3020d6fe254ec69d6121da,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.464323: new comcast tags for 20170326 tag set""]",ATT,,,,O,,ATT,"('comcast_tags.csv', '', 97)",Record a show from my phone,2017-03-30T00:19:27.997000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 97}",908155370613042015Comcast.USRIMS,,6bda951819567b23bec7532bdef10c5a,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.464522: new comcast tags for 20170326 tag set""]",RTV,,,,O,,RTV,"('comcast_tags.csv', '', 98)",Recording,2017-04-01T16:46:30.829000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 98}",533339521102112014Comcast.USRIMS,,174b7d2b5282b43a5804354588890993,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.464723: new comcast tags for 20170326 tag set""]",RTG,,,,O,,BBCC,"('comcast_tags.csv', '', 376)",Referal code,2017-03-31T12:58:28.611000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 99}",655419470626082016Comcast.cust,,dc8d8d9cd40ad75f3b84b90375e8894f,known_good,"[""2017-05-09T17:38:27.464918: new comcast tags for 20170326 tag set""]",RTR,,,,O,,RTR,"('comcast_tags.csv', '', 100)",Remote,2017-04-01T19:33:00.266000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 100}",374433360109062016Comcast.cust,,8a55162f3923541933c8545f9d74f8a7,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.465135: new comcast tags for 20170326 tag set""]",BS,,,,O,,RS,"('comcast_tags.csv', '', 144)",Renew my service,2017-03-28T06:11:52.531000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 101}",202454210408052015Comcast.USRIMS,,0aec9053a95571653d11e9b785238db7,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.465317: new comcast tags for 20170326 tag set""]",R,,,,O,,R,"('comcast_tags.csv', '', 104)",Reset,2017-03-28T23:10:07.983000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 102}",895620040208165220Comcast.USROSP,,2d89823b558541399945cdc9f581db7d,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.465533: new comcast tags for 20170326 tag set""]",RI,,,,O,,RI,"('comcast_tags.csv', '', 105)",Reset gateway,2017-03-31T19:31:13.677000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 103}",671833120612032014Comcast.USRIMS,,2e943eeb142deb3a9b1c890661f1d3f2,known_good,"[""2017-05-09T17:38:27.465717: new comcast tags for 20170326 tag set""]",OS,,,,O,,OS,"('comcast_tags.csv', '', 108)",Schedule a call,2017-04-01T01:02:52.571000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 104}",660424381209102014Comcast.USRIMS,,d752db41a8415d729da82d3eca306c60,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.465901: new comcast tags for 20170326 tag set""]",BB,,,,O,,BB,"('comcast_tags.csv', '', 153)",See my statement,2017-03-29T18:52:25.202000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 105}",092020061209044205COMCAST.USRMIG,,728b50af91689d67ceab828e251ffcce,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.466095: new comcast tags for 20170326 tag set""]",RT,,,,O,,RT,"('comcast_tags.csv', '', 155)",Send me a signal to my boxes,2017-03-29T13:12:40.274000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 106}",069935022123062005Comcast.USR3JR,,f84ab7b3715c89cb99806adffe1f2bff,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.466285: new comcast tags for 20170326 tag set""]",R,,,,O,,O,"('comcast_tags.csv', '', 156)",Send text,2017-04-01T14:12:13.116000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 107}",413608040318122013Comcast.USRIMS,,f6840640177949bc10070bd286665e0d,known_good,"[""2017-05-09T17:38:27.466466: new comcast tags for 20170326 tag set""]",R,,,,O,,R,"('comcast_tags.csv', '', 111)",Service,2017-04-01T11:49:06.712000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 108}",665148330512052015Comcast.USRIMS,,59c08b4c47a81cbaf0fae79a2785dbdc,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.466652: new comcast tags for 20170326 tag set""]",BX,,,,O,,BX,"('comcast_tags.csv', '', 113)",Service center near me,2017-03-31T21:34:19.370000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170326a', 'record': 109}",093020070309092658COMCAST.USRMIG,O,a82a25055918f0dd4344881428277f42,ccSklearnLogitEnsemble,"[""2017-05-09T17:38:27.466829: new comcast tags for 20170326 tag set"", ""2017-06-15T10:56:20.292273: autotagged by fwph""]",BS,,,,O,,R,"('comcast-tag-results.csv', '', 96)",Services,2017-03-30T20:54:49.171000+00:00,1.0
